RECHTSTRAEGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Ärztekammer für Oberösterreich;20123;2;0;OÖ Nachrichten;6789
Ärztekammer für Oberösterreich;20123;4;0;OÖ Nachrichten;12179
Ärztekammer für Oberösterreich;20123;2;0;RMA Bezirksrundschau;8447.82
Ärztekammer für Wien;20123;2;0;Der Standard;12600
Ärztekammer für Wien;20123;2;0;Kompetenz;8159.76
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;BAHNMAX;6481
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Bezirksblätter Niederösterreich;18129
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;FM4;7318
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Heute;46418
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Kleine Zeitung;9592
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Kronehit;6417
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Kronen Zeitung;11428
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Ö3;48898
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;OÖ Nachrichten;6377
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;orf.at;12788
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Österreich;27762
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;profil;7559
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Salzburger Nachrichten;11788
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Tiroler Tageszeitung;9586
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;VOR Magazin;25132
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Weekend;9502
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;Das Wiener Bezirksblatt;17633
ÖBB-Infrastruktur Aktiengesellschaft;20123;2;0;www.gmx.at UIM;5498
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;24 Stunden für Wien;11237
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Antenne Kärnten;5558
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Antenne Salzburg;8885
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;ATV;14939
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;AUTO TOURING GESAMT;8747
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;gotv;8701
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Infoscreen;31186
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Kabel 1 austria;10645
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Kleine Zeitung;21230
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Kronehit;5887
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Kronen Zeitung;14707
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Kurier;8119
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Life Radio;7644
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;NEWS;18101
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;NEWS;6762
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;NÖN;11686
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Ö3;19429
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;OÖ Nachrichten;6996
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;orf.at;9408
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;ORF eins;89214
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;ORF 2;45898
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Österreich;7137
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;ProSieben Austria;18848
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;profil;22676
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Puls 4;14938
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;RTL;20671
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Salzburger Nachrichten;13906
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;SAT.1 Österreich;25496
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Tiroler Tageszeitung;50808
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Volume;5039
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;VOX;14821
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;Weekend;27140
ÖBB-Personenverkehr Aktiengesellschaft;20123;2;0;www.kurier.at;6497
ÖBB-Postbus GmbH;20123;2;0;Servus in Wien;5497.8
ÖBB-Postbus GmbH;20123;2;0;skylines;5252.07
ÖBB-Werbung GmbH;20123;2;0;ExtraDienst;13292
ÖBB-Werbung GmbH;20123;2;0;medianet;5415
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Antenne Steiermark;5081.25
Agrarmarkt Austria Marketing GesmbH;20123;2;0;ATV;24546.49
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Bezirksrundschau Oberösterreich;5039.26
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Blick ins Land;13650
Agrarmarkt Austria Marketing GesmbH;20123;2;0;C.A.S.H.;15491.08
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Der Standard;29000
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Der Standard;10610
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Die Ganze Woche;7956
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Die Presse;27446.74
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Falstaff;8092
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Falstaff Deutschland;10404
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Friends Magazin;9290
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Gesünder leben;8300.25
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Heute;65272.9
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Infoscreen;35992.24
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kabel 1 austria;10567.86
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kronehit;13714.45
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kronen Zeitung;119012.32
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kronen Zeitung;10609
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kurier;24573.51
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Kurier;7737.99
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Lebensart;5301.45
Agrarmarkt Austria Marketing GesmbH;20123;2;0;LZ Direkt;6109.54
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Mitteilungsblatt der Burgenländischen LWK;9189.55
Agrarmarkt Austria Marketing GesmbH;20123;2;0;NEWS;34450
Agrarmarkt Austria Marketing GesmbH;20123;2;0;Ö3;91711.92
