RECHTSTRAEGER;QUARTAL;BEKANNTGABE;MEDIUM_MEDIENINHABER;EURO
User 196;19974;2;Movie 242;3
User 186;19982;2;Movie 302;3
User 22;19974;2;Movie 377;1
User 244;19974;2;Movie 51;2
User 166;19981;2;Movie 346;1
User 298;19981;2;Movie 474;4
User 115;19974;2;Movie 265;2
User 253;19982;2;Movie 465;5
User 305;19981;2;Movie 451;3
User 6;19974;2;Movie 86;3
User 62;19974;2;Movie 257;2
User 286;19974;2;Movie 1014;5
User 200;19974;2;Movie 222;5
User 210;19981;2;Movie 40;3
User 224;19981;2;Movie 29;3
User 303;19974;2;Movie 785;3
User 122;19974;2;Movie 387;5
User 194;19974;2;Movie 274;2
User 291;19973;2;Movie 1042;4
User 234;19982;2;Movie 1184;2
User 119;19981;2;Movie 392;4
User 167;19982;2;Movie 486;4
User 299;19974;2;Movie 144;4
User 291;19973;2;Movie 118;2
User 308;19981;2;Movie 1;4
User 95;19974;2;Movie 546;2
User 38;19982;2;Movie 95;5
User 102;19981;2;Movie 768;2
User 63;19974;2;Movie 277;4
User 160;19974;2;Movie 234;5
User 50;19974;2;Movie 246;3
User 301;19974;2;Movie 98;4
User 225;19974;2;Movie 193;4
User 290;19974;2;Movie 88;4
User 97;19981;2;Movie 194;3
User 157;19981;2;Movie 274;4
User 181;19974;2;Movie 1081;1
User 278;19981;2;Movie 603;5
User 276;19973;2;Movie 796;1
User 7;19981;2;Movie 32;4
User 10;19974;2;Movie 16;4
User 284;19981;2;Movie 304;4
User 201;19981;2;Movie 979;2
User 276;19973;2;Movie 564;3
User 287;19973;2;Movie 327;5
User 246;19981;2;Movie 201;5
User 242;19974;2;Movie 1137;5
User 249;19974;2;Movie 241;5
User 99;19981;2;Movie 4;5
User 178;19974;2;Movie 332;3
User 251;19981;2;Movie 100;4
User 81;19974;2;Movie 432;2
User 260;19981;2;Movie 322;4
User 25;19981;2;Movie 181;5
User 59;19981;2;Movie 196;5
User 72;19974;2;Movie 679;2
User 87;19974;2;Movie 384;4
User 290;19974;2;Movie 143;5
User 42;19974;2;Movie 423;5
User 292;19974;2;Movie 515;4
User 115;19974;2;Movie 20;3
User 20;19974;2;Movie 288;1
User 201;19981;2;Movie 219;4
User 13;19974;2;Movie 526;3
User 246;19981;2;Movie 919;4
User 138;19974;2;Movie 26;5
User 167;19982;2;Movie 232;1
User 60;19974;2;Movie 427;5
User 57;19981;2;Movie 304;5
User 223;19982;2;Movie 274;4
User 189;19982;2;Movie 512;4
User 243;19974;2;Movie 15;3
User 92;19981;2;Movie 1049;1
User 246;19981;2;Movie 416;3
User 194;19974;2;Movie 165;4
User 241;19981;2;Movie 690;2
User 178;19974;2;Movie 248;4
User 254;19981;2;Movie 1444;3
User 293;19981;2;Movie 5;3
User 127;19981;2;Movie 229;5
User 225;19974;2;Movie 237;5
User 299;19974;2;Movie 229;3
User 225;19974;2;Movie 480;5
User 276;19973;2;Movie 54;3
User 291;19973;2;Movie 144;5
User 222;19974;2;Movie 366;4
User 267;19974;2;Movie 518;5
User 42;19974;2;Movie 403;3
User 11;19982;2;Movie 111;4
User 95;19981;2;Movie 625;4
User 8;19974;2;Movie 338;4
User 162;19974;2;Movie 25;4
User 87;19974;2;Movie 1016;4
User 279;19973;2;Movie 154;5
User 145;19981;2;Movie 275;2
User 119;19973;2;Movie 1153;5
User 62;19974;2;Movie 498;4
User 62;19974;2;Movie 382;3
User 28;19974;2;Movie 209;4
User 135;19974;2;Movie 23;4
User 32;19981;2;Movie 294;3
User 90;19982;2;Movie 382;5
User 286;19974;2;Movie 208;4
User 293;19981;2;Movie 685;3
User 216;19974;2;Movie 144;4
User 166;19981;2;Movie 328;5
User 250;19974;2;Movie 496;4
User 271;19981;2;Movie 132;5
User 160;19974;2;Movie 174;5
User 265;19973;2;Movie 118;4
User 198;19981;2;Movie 498;3
User 42;19974;2;Movie 96;5
User 168;19981;2;Movie 151;5
User 110;19981;2;Movie 307;4
User 58;19981;2;Movie 144;4
User 90;19982;2;Movie 648;4
User 271;19981;2;Movie 346;4
User 62;19974;2;Movie 21;3
User 279;19974;2;Movie 832;3
User 237;19974;2;Movie 514;4
User 94;19982;2;Movie 789;4
User 128;19974;2;Movie 485;3
User 298;19981;2;Movie 317;4
User 44;19974;2;Movie 195;5
User 264;19981;2;Movie 200;5
User 194;19974;2;Movie 385;2
User 72;19974;2;Movie 195;5
User 222;19981;2;Movie 750;5
User 250;19974;2;Movie 264;3
User 41;19981;2;Movie 265;3
User 224;19981;2;Movie 245;3
User 82;19974;2;Movie 135;3
User 262;19974;2;Movie 1147;4
User 293;19981;2;Movie 471;3
User 216;19974;2;Movie 658;3
User 250;19974;2;Movie 140;3
User 59;19981;2;Movie 23;5
User 286;19974;2;Movie 379;5
User 244;19974;2;Movie 815;4
User 7;19981;2;Movie 479;4
User 174;19981;2;Movie 368;1
User 87;19974;2;Movie 274;4
User 194;19974;2;Movie 1211;2
User 82;19981;2;Movie 1134;2
User 13;19974;2;Movie 836;2
User 13;19981;2;Movie 272;4
User 244;19974;2;Movie 756;2
User 305;19981;2;Movie 427;5
User 95;19981;2;Movie 787;2
User 43;19981;2;Movie 14;2
User 299;19981;2;Movie 955;4
User 57;19981;2;Movie 419;3
User 84;19974;2;Movie 405;3
User 269;19982;2;Movie 504;4
User 299;19974;2;Movie 111;3
User 194;19974;2;Movie 466;4
User 160;19974;2;Movie 135;4
User 99;19981;2;Movie 268;3
User 10;19974;2;Movie 486;4
User 259;19973;2;Movie 117;4
User 85;19974;2;Movie 427;3
User 303;19974;2;Movie 919;4
User 213;19974;2;Movie 273;5
User 121;19982;2;Movie 514;3
User 90;19982;2;Movie 98;5
User 49;19981;2;Movie 559;2
User 42;19974;2;Movie 794;3
User 155;19974;2;Movie 323;2
User 68;19974;2;Movie 117;4
User 172;19973;2;Movie 177;4
User 19;19981;2;Movie 4;4
User 268;19974;2;Movie 231;4
User 5;19973;2;Movie 2;3
User 305;19981;2;Movie 117;2
User 44;19981;2;Movie 294;4
User 43;19974;2;Movie 137;4
User 279;19973;2;Movie 1336;1
User 80;19981;2;Movie 466;5
User 254;19981;2;Movie 164;4
User 298;19981;2;Movie 281;3
User 279;19982;2;Movie 1240;1
User 66;19974;2;Movie 298;4
User 18;19974;2;Movie 443;3
User 268;19973;2;Movie 1035;2
User 99;19981;2;Movie 79;4
User 13;19974;2;Movie 98;4
User 26;19981;2;Movie 258;3
User 7;19981;2;Movie 455;4
User 222;19974;2;Movie 755;4
User 200;19981;2;Movie 673;5
User 119;19974;2;Movie 328;4
User 213;19974;2;Movie 172;5
User 276;19973;2;Movie 322;3
User 94;19982;2;Movie 1217;3
User 130;19974;2;Movie 379;4
User 38;19982;2;Movie 328;4
User 160;19974;2;Movie 719;3
User 293;19981;2;Movie 1267;3
User 26;19982;2;Movie 930;2
User 130;19973;2;Movie 216;4
User 92;19981;2;Movie 1079;3
User 256;19974;2;Movie 452;4
User 1;19974;2;Movie 61;4
User 72;19974;2;Movie 48;4
User 56;19982;2;Movie 755;3
User 13;19974;2;Movie 360;4
User 15;19974;2;Movie 405;2
User 92;19973;2;Movie 77;3
User 207;19981;2;Movie 476;2
User 292;19974;2;Movie 174;5
User 232;19981;2;Movie 483;5
User 251;19981;2;Movie 748;2
User 224;19981;2;Movie 26;3
User 181;19974;2;Movie 220;4
User 259;19973;2;Movie 255;4
User 305;19981;2;Movie 471;4
User 52;19974;2;Movie 280;3
User 161;19981;2;Movie 202;5
User 148;19974;2;Movie 408;5
User 125;19982;2;Movie 235;2
User 97;19981;2;Movie 228;5
User 58;19981;2;Movie 1098;4
User 83;19981;2;Movie 234;4
User 90;19982;2;Movie 347;4
User 272;19974;2;Movie 178;5
User 194;19974;2;Movie 181;3
User 125;19974;2;Movie 478;4
User 110;19981;2;Movie 688;1
User 299;19974;2;Movie 14;4
User 151;19974;2;Movie 10;5
User 269;19982;2;Movie 127;4
User 6;19974;2;Movie 14;5
User 54;19974;2;Movie 106;3
User 303;19974;2;Movie 69;5
User 16;19974;2;Movie 944;1
User 301;19974;2;Movie 790;4
User 276;19973;2;Movie 1091;3
User 305;19981;2;Movie 214;2
User 194;19974;2;Movie 1028;2
User 91;19982;2;Movie 323;2
User 87;19974;2;Movie 554;4
